AREA,PERIMETER,COLUMBUS.,COLUMBUS.I,POLYID,NEIG,HOVAL,INC,CRIME,OPEN,PLUMB,DISCBD,X,Y,NSA,NSB,EW,CP,THOUS,NEIGNO,PERIM
14.453,3.174601,21,17,20,17,81.266998,31.07,0.223797,5.318607,0.167224,3.57,46.73,31.91,0.0,1.0,1.0,0.0,1000.0,1017.0,3.174601
21.282,5.07749,22,43,21,43,19.975,10.655,40.074074,1.643756,1.559576,1.41,34.080002,30.42,0.0,0.0,0.0,1.0,1000.0,1043.0,5.077491
6.84,1.992717,23,19,22,19,30.450001,11.709,33.705048,4.539754,1.785714,2.45,43.369999,33.459999,1.0,1.0,1.0,1.0,1000.0,1019.0,1.992717
6.901,2.147528,24,12,23,12,47.733002,21.155001,20.048504,0.532632,0.216763,4.78,49.610001,32.650002,0.0,0.0,1.0,0.0,1000.0,1012.0,2.147528
6.0287,2.240392,25,35,24,35,53.200001,14.236,38.297871,0.62622,18.811075,0.42,36.599998,32.09,1.0,1.0,0.0,1.0,1000.0,1035.0,2.240392
5.554,1.666489,26,32,25,32,17.9,8.461,61.299175,0.0,6.529851,0.83,39.360001,32.880001,1.0,1.0,1.0,1.0,1000.0,1032.0,1.666489
3.7,1.406823,27,20,26,20,20.299999,8.085,40.969742,1.238288,2.534275,1.5,41.130001,33.139999,1.0,1.0,1.0,1.0,1000.0,1020.0,1.406823
5.7,1.780751,28,21,27,21,34.099998,10.822,52.79443,19.368099,1.483516,2.24,43.950001,31.610001,0.0,0.0,1.0,1.0,1000.0,1021.0,1.780751
5.167,1.637148,29,31,28,31,22.85,7.856,56.919785,0.509305,3.001072,1.41,41.310001,30.9,0.0,0.0,1.0,1.0,1000.0,1031.0,1.637148
2.218,1.312158,30,33,29,33,32.5,8.681,60.750446,0.0,2.645051,0.81,39.720001,30.639999,0.0,0.0,1.0,1.0,1000.0,1033.0,1.312158
3.193,1.524931,31,34,30,34,22.5,13.906,68.892044,1.63878,15.600624,0.37,38.290001,30.35,0.0,0.0,0.0,1.0,1000.0,1034.0,1.524931
3.812,1.716047,32,45,31,45,31.799999,16.940001,17.677214,3.936443,0.85389,3.78,27.940001,29.85,1.0,1.0,0.0,0.0,1000.0,1045.0,1.716046
8.671,2.108951,33,13,32,13,40.299999,18.941999,19.145592,2.221022,0.255102,4.76,50.110001,29.91,0.0,0.0,1.0,0.0,1000.0,1013.0,2.108951
2.029,1.507971,34,22,33,22,23.6,9.918,41.968163,0.0,1.023891,2.28,44.099998,30.4,0.0,0.0,1.0,1.0,1000.0,1022.0,1.507971
7.608,2.519132,35,44,34,44,28.450001,14.948,23.974028,3.029087,0.386803,3.06,30.32,28.26,0.0,0.0,0.0,0.0,1000.0,1044.0,2.519132
6.38,1.974937,36,23,35,23,27.0,12.814,39.175053,4.220401,0.633675,2.37,43.700001,29.18,0.0,0.0,1.0,1.0,1000.0,1023.0,1.974937
5.191,1.790058,37,46,36,46,36.299999,18.739,14.305556,6.773331,0.332349,4.23,27.27,28.209999,0.0,0.0,0.0,0.0,1000.0,1046.0,1.790058
7.573,1.402252,38,30,37,30,43.299999,17.017,42.445076,4.839273,1.230329,1.08,38.32,28.82,0.0,0.0,1.0,1.0,1000.0,1030.0,1.402253
1.557,0.934509,39,24,38,24,22.700001,11.107,53.710938,0.0,0.8,1.58,41.040001,28.780001,0.0,0.0,1.0,1.0,1000.0,1024.0,0.934508
6.402,2.335402,40,47,39,47,39.599998,18.476999,19.100863,0.0,0.314663,5.53,24.25,26.690001,0.0,0.0,0.0,0.0,1000.0,1047.0,2.335402
8.772,2.285487,41,16,40,16,61.950001,29.833,16.241299,6.45131,0.132743,4.4,48.439999,27.93,0.0,0.0,1.0,0.0,1000.0,1016.0,2.285486
4.632,1.525097,42,14,41,14,42.099998,22.207001,18.905146,0.293317,0.247036,5.33,51.240002,27.799999,0.0,0.0,1.0,0.0,1000.0,1014.0,1.525097
8.695,2.176543,43,49,42,49,44.333,25.872999,16.49189,1.792993,0.134439,3.87,29.02,26.58,0.0,0.0,0.0,0.0,1000.0,1049.0,2.176543
2.274,0.967793,44,29,43,29,25.700001,13.38,36.663612,0.0,0.589226,1.95,41.09,27.49,0.0,0.0,1.0,1.0,1000.0,1029.0,0.967793
6.305,1.868044,45,25,44,25,33.5,16.961,25.962263,1.463993,0.329761,2.67,43.23,27.309999,0.0,0.0,1.0,0.0,1000.0,1025.0,1.868044
8.785,2.193039,46,28,45,28,27.733,14.135,29.028488,1.006118,2.3912,2.13,39.32,25.85,0.0,0.0,1.0,1.0,1000.0,1028.0,2.193039
3.822,1.841029,47,48,46,48,76.099998,18.323999,16.530533,9.683953,0.424628,5.27,25.469999,25.709999,0.0,0.0,0.0,0.0,1000.0,1048.0,1.841029
7.989,2.079986,48,15,47,15,42.5,18.950001,27.822861,0.0,0.268817,5.57,50.889999,25.24,0.0,0.0,1.0,0.0,1000.0,1015.0,2.079986
2.662,1.102032,49,27,48,27,26.799999,11.813,26.645266,4.884389,1.034807,2.33,41.209999,25.9,0.0,0.0,1.0,1.0,1000.0,1027.0,1.102032
7.005,2.199169,50,26,49,26,35.799999,18.796,22.541491,0.259826,0.901442,3.03,42.669998,24.959999,0.0,0.0,1.0,0.0,1000.0,1026.0,2.199169
