Easting,Northing,PurPrice,BldIntWr,BldPostW,Bld60s,Bld70s,Bld80s,TypDetch,TypSemiD,TypFlat,FlrArea
471000,139500,56500.0,0,0,1,0,0,0,0,1,78.0
476300,181400,72000.0,0,0,0,0,0,0,0,0,76.0
625700,231700,42500.0,0,0,0,0,0,0,0,1,81.734252224
458500,91900,31000.0,0,0,0,0,0,0,0,0,136.53335315
505000,194700,213000.0,1,0,0,0,0,1,0,0,167.18369773
493100,162200,85000.0,0,0,0,1,0,0,0,1,67.0
514300,154300,87000.0,0,0,1,0,0,1,0,0,64.0
481700,153500,210000.0,0,0,0,0,1,1,0,0,29.721546263
493100,192200,325000.0,0,0,0,0,1,1,0,0,261.0
503800,134800,124000.0,0,0,0,1,0,1,0,0,156.96691620000001
580700,210300,57000.0,0,0,0,1,0,0,1,0,84.985046347
489300,196500,80000.0,0,0,1,0,0,0,0,1,110.0
498500,151100,69000.0,0,0,0,0,0,0,0,1,84.427767355
576300,167100,33500.0,0,0,0,0,0,0,0,1,65.0
508900,221200,55750.0,0,0,0,0,1,0,0,1,68.08091691
496400,202200,55000.0,0,0,0,1,0,0,0,0,64.0
534600,195800,60000.0,1,0,0,0,0,0,0,0,59.257332863
520300,166200,79950.0,1,0,0,0,0,0,0,1,79.040737094
525400,163800,83000.0,0,0,0,1,0,0,0,1,96.130626196
545300,167200,138000.0,1,0,0,0,0,0,1,0,103.0
545300,187700,48250.0,0,0,0,0,1,0,0,0,44.582319395
529800,191700,117000.0,0,0,0,0,0,0,0,1,149.62940947
374900,165600,53000.0,0,0,0,0,0,0,0,0,55.0
407500,100400,94000.0,0,0,1,0,0,1,0,0,112.84899597
330500,148400,62000.0,0,0,0,1,0,0,1,0,93.251351402
256600,131600,93000.0,0,0,0,1,0,1,0,0,136.53335315
284800,70000,45000.0,0,0,0,0,1,0,1,0,73.93234633
253600,55800,55000.0,0,0,1,0,0,1,0,0,94.923188379
367700,80300,46000.0,0,0,0,1,0,0,0,0,76.0
330700,150700,52000.0,0,0,0,1,0,0,1,0,81.920011889
410100,91800,41000.0,0,0,0,0,0,0,0,0,48.297512678
411800,185700,50000.0,0,0,0,0,1,0,0,1,67.337878253
332700,188800,48500.0,1,0,0,0,0,0,1,0,89.16463879
322000,200600,27000.0,0,0,0,0,0,0,0,1,84.520647187
278600,378600,40000.0,0,0,0,0,0,0,0,1,80.062415247
612900,215100,55000.0,1,0,0,0,0,1,0,0,72.446269017
595900,227600,64950.0,0,0,1,0,0,0,1,0,106.81180688
525500,180100,165500.0,0,0,0,0,0,0,0,0,84.0
517300,181100,85000.0,0,0,0,1,0,0,0,0,77.0
517900,180400,68000.0,0,0,0,0,0,0,0,1,58.0
589300,185800,40000.0,0,0,0,0,0,0,0,0,65.108762283
530300,190900,135000.0,1,0,0,0,0,0,1,0,185.75966415
548400,184300,55500.0,1,0,0,0,0,0,0,1,79.690895919
520400,132100,187500.0,0,0,0,0,0,0,1,0,113.31339513
509400,103200,43000.0,0,0,0,0,0,0,0,0,47.647353854
518600,159100,95000.0,1,0,0,0,0,0,1,0,90.0
529200,170900,68500.0,0,0,0,0,1,0,0,1,67.337878253
519700,110400,116000.0,0,0,1,0,0,0,1,0,126.13081196
473100,212500,86000.0,0,1,0,0,0,0,1,0,195.0
452800,189500,70000.0,0,1,0,0,0,0,1,0,107.55484554
438000,539300,25000.0,0,0,0,0,0,0,0,1,123.80881615
589500,167600,40000.0,1,0,0,0,0,1,0,0,64.087084131
246600,125900,45000.0,0,0,1,0,0,0,1,0,83.870488362
333800,137700,79000.0,0,0,0,0,0,0,1,0,218.26760537
224000,61200,52000.0,0,0,1,0,0,0,0,1,90.186316943
432300,356500,40000.0,1,0,0,0,0,0,1,0,78.947857262
425000,325900,31500.0,0,0,0,0,1,0,0,0,45.139598388
438300,332700,35000.0,0,0,0,0,1,0,0,1,92.879832073
544700,278700,58000.0,0,0,0,0,1,0,1,0,110.99139933
432700,293300,33000.0,0,0,0,0,0,0,0,1,82.0
451000,170000,129000.0,0,0,1,0,0,1,0,0,172.0
515400,181200,68000.0,0,0,0,0,0,0,0,0,76.904500957
514200,185200,57500.0,0,0,1,0,0,0,0,0,52.0
518800,203500,46000.0,0,0,0,1,0,0,0,0,39.0
360400,386500,56750.0,0,0,1,0,0,0,1,0,69.0
351900,240800,72000.0,0,1,0,0,0,0,1,0,96.595025356
352200,430300,26250.0,0,0,0,0,0,0,0,1,63.62268497
606800,125300,85000.0,0,0,0,0,1,1,0,0,124.83049431
637200,164700,47000.0,0,0,0,0,0,0,0,1,107.0
526700,409200,40800.0,1,0,0,0,0,0,1,0,96.873664852
437700,557000,35000.0,0,0,0,0,0,0,0,1,76.347221964
429000,401100,49950.0,0,0,0,0,1,0,1,0,79.876655583
466300,249500,68000.0,0,0,1,0,0,0,1,0,91.951033753
524100,164000,147500.0,0,0,1,0,0,1,0,0,140.71294559
598800,313200,49000.0,0,1,0,0,0,1,0,0,92.229673249
486000,187200,66950.0,0,0,0,1,0,0,0,1,104.95421024
490500,169400,67000.0,0,1,0,0,0,0,1,0,97.0
525400,409500,29000.0,1,0,0,0,0,0,0,1,79.690895919
450200,531800,25000.0,0,0,0,0,0,0,0,1,69.752753887
487500,137300,61000.0,0,0,0,0,0,0,1,0,110.06260101
621700,135500,35000.0,0,0,0,0,0,0,0,0,125.3877733
543800,190600,95000.0,0,1,0,0,0,0,1,0,102.53933461
402500,93500,50000.0,0,0,0,0,1,0,0,1,65.944680772
442300,105400,49500.0,0,0,1,0,0,0,1,0,93.994390058
377500,205300,107000.0,0,0,0,0,0,0,1,0,187.98878012
384200,434900,69950.0,0,0,0,1,0,1,0,0,99.00990099
452700,517900,37500.0,0,1,0,0,0,0,0,1,92.972711905
434500,574000,32000.0,0,1,0,0,0,0,0,1,66.223320268
370600,356000,34500.0,0,0,0,0,0,0,0,1,70.588672376
448900,519400,31950.0,0,0,0,0,0,0,0,1,84.706406851
456600,411000,155000.0,0,0,0,0,0,1,0,0,215.75984991
335300,400100,36000.0,0,0,1,0,0,0,0,1,106.81180688
337400,392200,28500.0,0,0,0,0,0,0,0,1,64.737242955
524700,177500,138500.0,0,0,0,0,0,0,0,1,96.0
519900,181300,82000.0,1,0,0,0,0,0,1,0,100.31021864
542400,169500,224000.0,0,0,1,0,0,1,0,0,262.0
578200,143500,59000.0,0,1,0,0,0,0,0,1,71.2388312
499700,159200,56000.0,0,0,1,0,0,0,1,0,89.0
531100,120100,65000.0,0,0,0,0,1,0,0,1,70.0
582900,110400,29950.0,0,0,0,0,0,0,0,0,58.0
526100,135800,90000.0,0,0,1,0,0,0,1,0,119.0
477100,179700,205000.0,0,0,0,0,0,1,0,0,148.0
588300,240600,40000.0,0,0,0,1,0,0,0,0,61.0
534700,343900,57500.0,0,0,1,0,0,0,1,0,145.0
513300,181800,75000.0,1,0,0,0,0,0,0,1,72.0
485100,185900,185000.0,1,0,0,0,0,1,0,0,126.0
494600,163300,79000.0,0,1,0,0,0,0,1,0,96.0
469800,173400,53000.0,0,0,0,0,0,0,0,1,71.053071536
397600,384400,125000.0,0,0,0,1,0,1,0,0,74.303865659
547600,122800,65000.0,0,0,0,0,0,0,1,0,93.0
332200,187900,36000.0,0,0,0,0,0,0,0,1,92.0
469200,173300,57000.0,0,0,0,0,1,0,0,0,57.0
416400,94600,115000.0,0,0,0,0,1,1,0,0,155.10931956
395400,227200,68000.0,0,0,0,0,1,0,0,1,94.273029554
526900,195200,77000.0,1,0,0,0,0,0,1,0,92.879832073
482400,214200,43750.0,0,0,0,0,1,0,0,0,69.0
550300,204700,74000.0,0,1,0,0,0,0,0,1,89.16463879
526500,181000,135000.0,0,0,0,0,0,0,0,0,62.229487489
526000,171200,84000.0,0,0,0,0,0,0,0,1,82.198651385
524900,164400,60000.0,0,1,0,0,0,0,0,0,69.659874055
467500,105800,62500.0,0,1,0,0,0,1,0,0,79.876655583
403300,91800,83000.0,0,0,0,0,0,0,0,0,157.89571452
487700,244000,36000.0,0,0,0,0,1,0,0,0,74.303865659
311700,169400,37500.0,0,0,0,0,1,0,0,1,61.300689168
407200,99700,92000.0,0,0,1,0,0,1,0,0,98.452621998
330600,148900,35000.0,0,0,0,0,0,0,0,0,69.474114391
250500,52300,76500.0,0,0,0,1,0,0,1,0,150.92972712
537600,175600,69000.0,0,0,0,0,0,0,0,1,119.07194472
243200,112400,55000.0,0,0,0,0,0,0,1,0,155.29507923
325300,190500,59950.0,0,0,0,0,1,0,1,0,99.845819479
403600,301500,45000.0,0,0,0,0,1,0,1,0,69.0
498900,357600,68000.0,0,0,1,0,0,1,0,0,117.0
396700,301800,42400.0,0,0,0,0,1,0,1,0,64.0
353900,329400,80000.0,0,0,0,0,1,1,0,0,120.0
506500,251600,90000.0,0,1,0,0,0,0,1,0,153.25172292
654600,294200,35500.0,0,0,0,0,0,0,0,1,95.108948043
548500,249000,80000.0,0,0,1,0,0,1,0,0,146.28573552
610500,290900,135000.0,0,0,0,0,0,1,0,0,239.16556759
433800,396800,48300.0,0,0,0,0,1,0,1,0,92.786952241
337300,445200,70000.0,0,0,0,1,0,0,1,0,96.595025356
385800,435100,39500.0,0,0,0,1,0,0,1,0,76.1614623
394800,409300,55000.0,0,0,0,1,0,0,1,0,88.0
635700,170900,45000.0,0,0,0,0,0,0,0,1,96.0
508300,431400,35500.0,1,0,0,0,0,0,0,1,69.195474895
453100,376100,28000.0,0,0,0,0,1,0,0,1,54.984860587
408500,438300,136000.0,0,0,0,0,0,1,0,0,226.25527093
430000,568000,57000.0,0,0,0,1,0,0,1,0,110.61988
430800,297800,95000.0,0,0,0,0,0,1,0,0,174.0
531100,183400,178500.0,0,0,0,0,0,0,0,1,140.0
381700,274400,43000.0,0,0,0,0,1,0,1,0,67.802277413
473400,259400,29995.0,0,0,0,1,0,0,0,1,97.0
527200,171200,60000.0,0,0,0,0,0,0,0,0,89.350398454
486500,279600,32500.0,0,0,0,0,0,0,0,1,90.0
590600,165600,31000.0,0,0,0,0,1,0,0,0,46.439916037
370900,181600,42500.0,0,0,1,0,0,0,0,1,91.022235432
449000,518900,34000.0,0,0,0,0,0,0,0,1,86.192484164
577300,168700,44995.0,0,0,0,0,0,0,0,1,84.0
481400,213700,50000.0,1,0,0,0,0,0,0,1,75.0
484100,163800,57000.0,0,0,0,0,1,0,0,0,45.046718556
488700,412000,40000.0,1,0,0,0,0,0,1,0,117.49298757
436100,435000,42500.0,1,0,0,0,0,0,1,0,91.951033753
369100,312800,50200.0,0,0,0,0,0,0,1,0,109.0
481100,351500,90000.0,0,0,0,0,1,1,0,0,141.0
411900,433500,29950.0,0,0,1,0,0,0,0,1,89.907677447
569400,307500,39950.0,0,1,0,0,0,0,1,0,113.0
579700,184000,59000.0,0,0,0,1,0,0,1,0,144.42813887
473100,172600,58000.0,0,0,0,0,0,0,0,1,97.616703509
246800,54900,31500.0,0,0,0,0,0,0,0,0,100.31021864
248500,55700,30000.0,0,0,0,0,0,0,0,0,67.802277413
419300,168700,113500.0,0,0,0,1,0,1,0,0,148.60773132
354800,341300,40000.0,0,0,0,0,0,0,0,1,117.02858841
506100,233700,89000.0,0,0,1,0,0,1,0,0,117.0
558400,108800,67500.0,0,0,0,0,1,0,1,0,144.0
540500,137800,63000.0,0,0,0,1,0,0,0,1,77.554659781
539200,183400,45995.0,0,0,0,0,0,0,0,1,67.337878253
540000,101500,67000.0,0,0,0,0,1,1,0,0,101.0
554900,191800,62500.0,0,0,0,1,0,0,1,0,100.31021864
348200,187800,64000.0,0,0,1,0,0,0,1,0,111.45579849
349300,195400,130000.0,0,0,0,0,0,0,1,0,182.50887002
577100,163800,50500.0,0,0,0,0,0,0,0,1,95.0
475800,263500,37000.0,1,0,0,0,0,0,0,1,69.0
455700,263800,41500.0,0,0,0,0,1,0,0,0,59.0
545200,117200,125000.0,0,0,0,0,1,1,0,0,162.0
549400,100500,61000.0,0,0,1,0,0,0,1,0,112.0
534000,184600,73995.0,0,0,0,0,1,0,0,1,86.0
300200,81400,47500.0,0,0,0,0,0,0,0,1,102.16781528
411200,183700,36500.0,0,0,0,0,1,0,0,1,54.799100923
386000,144700,57000.0,0,0,0,1,0,0,1,0,124.0
404000,87400,32500.0,1,0,0,0,0,0,0,0,49.226310999
615500,159600,49000.0,0,0,0,0,1,0,0,1,74.0
481000,154000,150000.0,0,0,0,0,1,1,0,0,165.32610109
576100,153700,77000.0,0,0,1,0,0,0,1,0,146.75013468
521900,187800,47000.0,0,0,1,0,0,0,0,0,74.303865659
470100,115800,85000.0,0,0,1,0,0,1,0,0,130.0317649
539000,175200,46000.0,0,0,0,0,0,0,0,1,99.381420318
534800,173300,68875.0,0,0,0,0,1,0,0,0,82.0
391400,161900,90000.0,0,0,0,1,0,1,0,0,154.0
283500,66400,39000.0,1,0,0,0,0,0,1,0,99.195660654
350800,383200,30000.0,0,0,0,0,0,0,0,1,89.907677447
368100,429600,80000.0,0,0,0,0,1,1,0,0,92.786952241
423100,94800,54500.0,0,1,0,0,0,1,0,0,69.195474895
548300,217300,135000.0,0,0,0,0,1,1,0,0,172.0
441400,293600,91000.0,0,0,0,0,1,1,0,0,147.0
534000,193000,61000.0,0,0,0,0,0,0,0,1,88.0
415400,185100,32000.0,0,0,0,0,0,0,0,1,112.19883714
450200,106500,79000.0,0,0,0,0,1,1,0,0,131.0
573200,169600,38000.0,0,0,0,0,0,0,0,1,93.0
460200,302500,155000.0,0,0,0,0,0,0,0,1,256.0
499800,176500,110500.0,1,0,0,0,0,1,0,0,127.0
313900,113600,8750.0,0,0,0,0,1,0,0,1,59.443092527
562200,221800,162500.0,0,0,0,0,1,1,0,0,218.0
496500,176300,78000.0,0,1,0,0,0,0,0,1,95.0
524800,178000,44000.0,0,0,0,0,0,0,0,0,30.0
431000,418900,75000.0,0,0,1,0,0,1,0,0,139.78414727
431000,379900,49500.0,1,0,0,0,0,0,1,0,79.412256423
415700,435800,20000.0,0,0,0,0,0,0,0,1,58.885813534
407700,279200,43000.0,1,0,0,0,0,0,1,0,69.659874055
353500,239400,124000.0,0,0,0,1,0,1,0,0,152.3229246
347200,311300,48000.0,0,0,0,0,1,0,1,0,67.0
570100,270400,44000.0,0,0,1,0,0,0,1,0,148.60773132
571700,290900,72000.0,0,1,0,0,0,1,0,0,184.83086583
327700,201000,36000.0,1,0,0,0,0,0,1,0,116.09979009
521500,105000,69000.0,0,0,0,0,0,0,0,1,130.3104044
300000,527500,49600.0,0,1,0,0,0,0,1,0,100.03157914
426400,541100,138000.0,0,0,0,0,1,1,0,0,172.75648766
429700,561900,38750.0,0,0,0,0,1,0,0,1,56.563817733
427500,515500,58000.0,1,0,0,0,0,0,1,0,99.845819479
474400,424300,32500.0,0,0,0,0,0,0,0,1,92.694072409
330600,391000,45000.0,1,0,0,0,0,0,1,0,111.45579849
361200,387200,47500.0,0,0,0,0,0,0,0,1,139.0
387400,447400,51000.0,0,0,0,0,0,0,0,1,142.10614307
352300,427300,62500.0,1,0,0,0,0,0,1,0,92.879832073
392300,385700,69950.0,0,0,1,0,0,0,1,0,98.0
459300,379700,28500.0,1,0,0,0,0,0,1,0,81.362732896
447800,333000,33000.0,0,0,0,1,0,0,0,1,74.0
449800,334600,50000.0,0,1,0,0,0,1,0,0,77.090260621
503700,310800,64000.0,0,0,1,0,0,1,0,0,109.0
455000,362000,36995.0,0,0,0,0,1,0,1,0,55.0
424800,327700,65000.0,0,0,0,1,0,1,0,0,81.269853064
394600,298000,42000.0,0,0,1,0,0,0,1,0,104.0
350800,312400,27000.0,0,0,0,0,1,0,1,0,43.0
392300,296400,53000.0,0,0,0,0,0,0,1,0,104.0
401600,287400,37500.0,1,0,0,0,0,0,0,1,83.591848866
394900,287900,38000.0,0,0,0,1,0,0,0,1,72.910668178
329200,329300,40000.0,0,0,0,0,0,0,0,1,115.0
433400,293300,53000.0,0,1,0,0,0,0,1,0,111.0
629400,235500,50000.0,0,0,0,0,1,0,1,0,83.0
516000,269100,57000.0,0,0,0,0,0,0,0,1,91.85815392
464200,102100,29000.0,0,0,0,0,0,0,0,1,95.201827875
621100,140900,90000.0,0,1,0,0,0,1,0,0,123.71593632
484500,212700,76000.0,0,0,1,0,0,0,1,0,109.0
460000,159200,125000.0,0,0,0,1,0,1,0,0,177.86487842
562900,102800,38750.0,0,1,0,0,0,0,0,0,62.415247153
457900,105400,74000.0,0,1,0,0,0,0,0,1,107.0
631700,141800,46000.0,0,0,0,0,0,0,0,1,154.36628091
484600,232600,52500.0,0,0,0,0,1,0,0,1,82.0
447900,88700,42000.0,0,0,0,0,1,0,0,1,68.266676574
441100,112500,51500.0,0,1,0,0,0,0,1,0,91.0
493100,181500,70000.0,0,1,0,0,0,0,1,0,101.0
545300,199500,130000.0,1,0,0,0,0,0,1,0,116.74994892
504300,223100,51995.0,0,1,0,0,0,0,1,0,57.0
547000,196900,73000.0,0,1,0,0,0,0,1,0,97.523823677
495300,176700,96000.0,0,0,1,0,0,0,0,1,152.0
487800,179300,100000.0,0,0,1,0,0,0,1,0,133.0
499000,187600,220000.0,0,0,0,0,0,0,0,1,194.11884903
512300,193900,49000.0,0,0,1,0,0,0,0,0,67.802277413
526000,145900,250000.0,1,0,0,0,0,1,0,0,192.72565155
497500,145100,80000.0,1,0,0,0,0,0,1,0,101.0
488000,180100,55000.0,0,1,0,0,0,0,1,0,92.0
541800,194200,74000.0,1,0,0,0,0,0,1,0,121.20818086
533200,162900,155000.0,0,0,0,0,0,0,1,0,223.37599614
547300,186800,51000.0,1,0,0,0,0,0,0,1,80.805453904
524700,170900,88000.0,0,0,0,0,1,0,0,0,88.0
512200,182200,97000.0,0,0,0,0,1,1,0,0,86.47112366
517400,178000,75000.0,1,0,0,0,0,0,1,0,99.0
509800,178600,62500.0,1,0,0,0,0,0,1,0,78.019058942
514100,185200,53000.0,1,0,0,0,0,0,0,0,60.371890848
542300,184200,70000.0,1,0,0,0,0,0,0,1,106.44028756
512600,185000,68000.0,0,1,0,0,0,0,1,0,114.70659261
516200,180000,61000.0,0,0,0,0,0,0,0,0,57.0
526300,181000,115000.0,0,0,0,0,0,0,0,0,48.0
354400,115000,59000.0,0,0,0,1,0,0,1,0,125.3877733
401200,161100,67000.0,1,0,0,0,0,0,1,0,116.0
415000,129700,62250.0,0,1,0,0,0,0,0,1,107.92636487
437800,290700,77250.0,0,0,0,0,1,1,0,0,121.0
522700,302700,26500.0,0,0,0,0,1,0,0,0,46.904315197
528200,173600,109000.0,0,1,0,0,0,0,0,1,128.17416826
480300,164800,150000.0,0,0,0,1,0,1,0,0,111.45579849
533000,343800,37000.0,0,1,0,0,0,0,1,0,108.0
396500,224000,67300.0,0,0,1,0,0,0,1,0,81.176973232
399700,96300,60000.0,0,1,0,0,0,1,0,0,87.028402653
379700,416300,82000.0,0,0,0,0,1,1,0,0,110.06260101
530300,105700,45500.0,0,0,1,0,0,0,0,1,76.62586146
430300,271900,62100.0,0,0,0,0,1,0,1,0,69.659874055
504700,166300,101000.0,0,1,0,0,0,0,1,0,130.0
486300,242400,20275.0,0,0,0,1,0,0,1,0,71.0
474100,264500,70000.0,0,0,1,0,0,1,0,0,120.0
493800,104500,49000.0,0,0,1,0,0,0,0,1,87.0
470300,287200,37500.0,0,0,0,1,0,0,1,0,103.0
487400,200600,57500.0,0,0,0,1,0,0,0,1,71.0
485200,167000,56500.0,0,0,1,0,0,0,0,1,92.0
454100,139700,88000.0,0,1,0,0,0,0,1,0,117.0
537100,170100,73000.0,0,0,0,0,1,0,0,0,67.430758085
494900,176000,65000.0,0,0,1,0,0,0,0,1,112.0
517300,131800,52000.0,0,0,1,0,0,0,0,0,67.988037078
483600,210300,75400.0,0,1,0,0,0,0,1,0,110.0
436400,145400,67000.0,0,0,0,0,1,1,0,0,114.61371278
486900,276800,37950.0,0,0,0,1,0,0,1,0,91.0
492300,100700,73000.0,0,0,0,0,1,1,0,0,116.00691026
506900,251900,54000.0,0,0,1,0,0,0,1,0,84.0
411600,417900,108000.0,0,0,0,0,1,1,0,0,136.34759348
474500,263500,64000.0,0,1,0,0,0,1,0,0,84.0
526700,137500,62000.0,0,0,0,0,1,0,0,1,87.0
344700,463600,44000.0,0,1,0,0,0,0,0,1,97.523823677
532400,119400,47500.0,0,1,0,0,0,0,0,1,64.0
450500,354300,27000.0,0,0,0,0,0,0,1,0,117.0
635300,170100,33000.0,0,0,0,0,0,0,0,1,83.0
456300,362100,27750.0,0,0,0,0,0,0,0,1,94.0
518600,168100,94000.0,1,0,0,0,0,0,1,0,92.0
521800,164700,105000.0,1,0,0,0,0,0,1,0,113.12763547
526100,191900,79000.0,0,0,0,0,0,0,0,1,89.629037951
547400,184100,49000.0,1,0,0,0,0,0,0,1,78.947857262
304900,199400,50000.0,1,0,0,0,0,0,1,0,111.45579849
489800,288600,26000.0,1,0,0,0,0,0,0,1,68.452436238
