AREA,PERIMETER,B_,B_ID,POLY_,SUBCLASS,SUBCLASS_,RINGS_OK,RINGS_NOK,REGIONS_,REGIONS_ID,REGION
399151.38,3271.8762,38,163,1,,0,0,0,0,0,
93970.453,2214.3074,39,164,168,XXX,94,1,0,116,115,
105546.44,3024.4712,40,165,1,,0,0,0,0,0,
242400.0,2505.3528,41,167,1,,0,0,0,0,0,
443701.75,7220.3164,42,168,172,XXX,95,1,0,119,118,
33841.934,1096.5959,43,169,1,,0,0,0,0,0,
39966.531,1205.2664,44,172,1,,0,0,0,0,0,
207772.2,3568.8274,45,173,177,XXX,96,1,0,120,119,
106368.99,2073.8203,46,174,1,,0,0,0,0,0,
41494.203,1158.9978,47,175,1,,0,0,0,0,0,
270943.53,2994.991,48,176,1,,0,0,0,0,0,
36942.195,1215.8068,49,177,181,XXX,97,1,0,124,123,
123046.27,2622.542,50,178,182,XXX,63,12,0,64,63,Wales
3682721.0,11367.498,51,179,1,,0,0,0,0,0,
271186.09,2505.4661,52,180,1,,0,0,0,0,0,
1064668.0,5875.373,53,181,1,,0,0,0,0,0,
1321983.4,9501.8008,54,182,1,,0,0,0,0,0,
2457699.2,15434.281,55,183,1,,0,0,0,0,0,
4133862.5,16095.594,56,184,1,,0,0,0,0,0,
467143.03,4547.5195,57,186,1,,0,0,0,0,0,
95573.898,2275.3467,58,187,191,XXX,98,1,0,127,126,
35374.211,1243.2708,59,188,192,XXX,98,1,0,127,126,
116804.36,2543.3496,60,189,193,XXX,98,1,0,127,126,
375479.41,3546.5925,61,190,1,,0,0,0,0,0,
276155.78,3296.2715,62,191,195,XXX,98,1,0,127,126,
212208.95,4357.0176,63,192,1,,0,0,0,0,0,
84986.828,2639.5913,64,194,198,XXX,99,1,0,130,129,
16531.887,594.04938,65,195,199,XXX,100,1,0,133,132,
107672.81,1784.3684,66,196,200,XXX,101,1,0,136,135,
416911.31,4281.1519,67,197,1,,0,0,0,0,0,
118348.24,2096.562,68,198,1,,0,0,0,0,0,
128680.97,3989.0322,69,199,1,,0,0,0,0,0,
164140.25,2346.3877,70,200,1,,0,0,0,0,0,
394875.25,4395.8105,71,201,1,,0,0,0,0,0,
130908.1,3419.6294,72,202,206,XXX,102,1,0,139,138,
134805.38,2014.2526,73,203,207,XXX,63,12,0,64,63,Wales
878372.31,5852.9326,74,204,1,,0,0,0,0,0,
3105215.5,22243.455,75,206,1,,0,0,0,0,0,
66939.219,1994.6508,76,207,1,,0,0,0,0,0,
192013.33,1872.4474,77,208,212,XXX,103,1,0,140,139,
89370.305,1898.3698,78,209,213,XXX,103,1,0,140,139,
72559.719,2078.3979,79,210,214,XXX,103,1,0,140,139,
86795.391,1715.0082,80,211,1,,0,0,0,0,0,
398549.41,6089.7646,81,212,1,,0,0,0,0,0,
253912.22,3559.7502,82,213,1,,0,0,0,0,0,
90913.234,2017.72,83,214,1,,0,0,0,0,0,
301452.44,3184.5547,84,215,1,,0,0,0,0,0,
503687.31,5120.6792,85,216,1,,0,0,0,0,0,
93980.695,2048.0183,86,217,222,XXX,104,1,0,141,140,
541319.56,4674.8076,87,218,223,XXX,63,12,0,64,63,Wales
185062.8,2184.5078,88,220,225,XXX,65,13,0,66,65,South West
484406.78,6721.625,89,221,226,XXX,105,1,0,142,141,
424764.22,6353.167,90,222,1,,0,0,0,0,0,
134292.81,2111.9016,91,223,228,XXX,105,1,0,142,141,
146787.56,3810.5662,92,224,229,XXX,105,1,0,142,141,
272224.41,4886.7129,93,225,230,XXX,105,1,0,142,141,
512049.19,9152.9658,94,226,231,XXX,105,1,0,142,141,
752701.62,6806.6221,95,227,1,,0,0,0,0,0,
46424.68,1419.9252,96,228,1,,0,0,0,0,0,
138040.94,3659.9043,97,229,1,,0,0,0,0,0,
756047.12,12344.038,98,230,235,XXX,106,1,0,144,143,
96772.141,2131.6384,99,231,236,XXX,105,1,0,142,141,
166400.0,2622.063,100,232,1,,0,0,0,0,0,
369890.19,2770.9321,101,233,1,,0,0,0,0,0,
90888872.0,50201.727,102,234,239,XXX,67,1,0,68,67,South East
260896.98,3081.6089,103,235,240,XXX,107,1,0,146,145,
428850.75,6515.085,104,236,242,XXX,105,1,0,142,141,
1149289.6,8703.3066,105,237,1,,0,0,0,0,0,
462063.5,7652.98,106,238,244,XXX,105,1,0,142,141,
285037.06,4935.8071,107,239,245,XXX,105,1,0,142,141,
313710.62,3538.9255,108,240,1,,0,0,0,0,0,
272493.56,3341.8672,109,241,1,,0,0,0,0,0,
161438.69,3111.05,110,242,1,,0,0,0,0,0,
320409.88,3916.8528,111,243,1,,0,0,0,0,0,
162123.7,3330.6113,112,244,1,,0,0,0,0,0,
284920.72,3533.9319,113,245,251,XXX,65,13,0,66,65,South West
326638.62,3435.6619,114,246,1,,0,0,0,0,0,
289145.06,3108.1875,115,247,1,,0,0,0,0,0,
144469.03,2834.9951,116,248,1,,0,0,0,0,0,
299199.91,4084.8845,117,249,1,,0,0,0,0,0,
978348.38,8280.1172,118,250,1,,0,0,0,0,0,
324777.5,3317.1135,119,251,1,,0,0,0,0,0,
117828.91,1910.4598,120,252,258,XXX,108,1,0,147,146,
91477.188,2997.6182,121,253,259,XXX,108,1,0,147,146,
217758.84,3439.5605,122,254,1,,0,0,0,0,0,
610706.06,7321.5195,123,255,1,,0,0,0,0,0,
241196.58,2836.0806,124,256,1,,0,0,0,0,0,
379666590.0,130293.46,125,257,263,XXX,68,1,0,69,68,South East
1196325.0,6027.0801,126,258,1,,0,0,0,0,0,
915490.25,6515.2212,127,259,1,,0,0,0,0,0,
56634.695,1708.6536,128,260,266,XXX,66,2,0,67,66,South East
78272.258,1298.3131,129,261,267,XXX,65,13,0,66,65,South West
52239.02,1119.4371,130,262,1,,0,0,0,0,0,
387162.28,3869.1868,131,263,269,XXX,109,1,0,150,149,
159617.88,2002.3109,132,264,1,,0,0,0,0,0,
280840.12,5472.4971,133,265,1,,0,0,0,0,0,
184187.69,5761.6021,134,266,1,,0,0,0,0,0,
1369912.0,15654.783,135,267,273,XXX,110,1,0,152,151,
171352.95,2010.7346,136,268,274,XXX,111,1,0,155,154,
1402736.2,11578.594,137,269,1,,0,0,0,0,0,
538151.19,6258.6812,138,270,1,,0,0,0,0,0,
496331.0,5686.3726,139,271,277,XXX,112,1,0,157,156,
149038.66,3024.5598,140,272,1,,0,0,0,0,0,
618863.94,4852.6709,141,273,1,,0,0,0,0,0,
1089627.6,9173.4492,142,274,1,,0,0,0,0,0,
844777.0,4697.5625,143,275,1,,0,0,0,0,0,
86802.562,1796.4653,144,276,1,,0,0,0,0,0,
712383.69,6310.5698,145,277,1,,0,0,0,0,0,
